Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals
"""Fran""",Benchmark (Girl/Classic),For Time (Typically 5-10 minutes),Complete 21-15-9 reps of Thrusters and Pull-ups.,"Barbell (45/30 kgs), Pull-up Bar","Full Body (Quads, Shoulders, Lats, Biceps)","Cardiovascular Endurance, High-Intensity Power"
"""Grace""",Benchmark (Girl/Classic),For Time (Typically 3-6 minutes),Complete 30 Clean & Jerks ((60/45 kgs)).,Barbell (60/45 kgs),"Full Body (Hips, Shoulders, Triceps, Core)","Power, Weightlifting Efficiency"
"""Helen""",Benchmark (Girl/Classic),3 Rounds For Time,"400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups.","Kettlebell, Pull-up Bar","Full Body (Hips, Back, Lungs)","Stamina, Cardiovascular Endurance"
"""Cindy""",Benchmark (Girl/Classic),AMRAP in 20 Minutes,"Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats.",Pull-up Bar (Optional band for assistance),"Full Body (Back, Chest, Triceps, Legs, Core)","Muscular Endurance, Stamina"
"""Karen""",Benchmark (Girl/Classic),For Time (Typically 8-15 minutes),Complete 150 Wall Balls ((10/5 kgs)) for time.,Wall Ball (10/5 kgs),"Legs, Shoulders, Core","Muscular Endurance, Mental Toughness"
"""Fight Gone Bad""",Benchmark (Girl/Classic),"3 Rounds, 1 Minute per Station","Wall Balls ((10/5 kgs)), Sumo Deadlift High-Pulls ((35/25 kgs)), Box Jumps (20 in), Push Presses ((35/25 kgs)), Row (Calories). 1 min rest between rounds.","Wall Ball, Barbell, Box, Rower",Full Body (High volume),"Muscular Endurance, Lactic Acid Tolerance"
"""Bodyweight Blast""",Bodyweight/Travel,AMRAP in 15 Minutes,"10 Burpees, 20 Sit-ups, 30 Air Squats.",None (Bodyweight),"Full Body (Core, Legs, Hips)","Aerobic Capacity, Movement Consistency"
"""The Seven""",Barbell/Weightlifting,7 Rounds For Time,"7 Handstand Push-ups, 7 Thrusters ((60/45 kgs)), 7 Knees-to-Elbows, 7 Deadlifts ((110/75 kgs)), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups.","Barbell, Kettlebell, Rings/Bar",Full Body (Heavy and Gymnastics),"Strength Endurance, High Volume Stamina"
"""Running EMOM""",EMOM/Pacing,EMOM for 20 Minutes,Odd Minutes: 15 Burpees. Even Minutes: 200m Run.,None (Bodyweight),"Legs, Cardio, Hips","Pacing Strategy, Anaerobic Threshold"
"""Weighted Isabel""",Barbell/Weightlifting,For Time (Typically 4-8 minutes),Complete 30 Snatches ((60/45 kgs)).,Barbell (60/45 kgs),"Hips, Shoulders, Core","Explosive Power, Barbell Cycling"
"""Thruster Ladder""",AMRAP/Interval,AMRAP in 12 Minutes,"3 Thrusters ((45/30 kgs)), 3 Pull-ups. Add 3 reps to each movement every round (6, 6; 9, 9; etc.)","Barbell, Pull-up Bar","Full Body, High-Intensity","Strength Endurance, Work Capacity"
"""Dumbbell Trio""",Dumbbell/Kettlebell,3 Rounds For Time,"20 Dumbbell Snatches ((25/15 kgs)), 20 Dumbbell Box Step-overs (20 in), 20 V-ups.","Dumbbell, Box","Full Body, Core","Conditioning, Unilateral Strength"
"""Benchmark B""",Monostructural/Cardio,For Time (50-40-30-20-10 Reps),"Double Unders (2x reps: 100-80-60-40-20), Air Squats.",Jump Rope,"Legs, Cardio","Speed, Coordination"
"""Core Destroyer""",Gymnastics/Skill,5 Rounds For Time,"15 GHD Sit-ups, 10 Toes-to-Bar, 15 Back Extensions.","GHD Machine, Pull-up Bar","Core, Posterior Chain","Midline Strength, Endurance"
"""Kettlebell Swing & Goblet""",Dumbbell/Kettlebell,AMRAP in 18 Minutes,"15 Kettlebell Swings (24/16 kg), 10 Goblet Squats (24/16 kg), 5 Strict Push-ups.",Kettlebell,"Legs, Hips, Chest",Muscular Endurance
"""Heavy Deadlifts""",Barbell/Weightlifting,5 Rounds For Time,"5 Deadlifts ((125/85 kgs)), 10 Hand Release Push-ups, 15 Box Jumps (24/20 in).","Barbell, Box","Posterior Chain, Chest, Hips","Strength, Anaerobic Power"
